MeOw Station [2]
Project & Location: DUNEX - Pea Island, NC
Installation Date: September 16, 2021
DateTime,UnixTime,Battery_V,SonarRange_mm
2021-09-12 19:06:23,1631473583,4.05,300
2021-09-12 19:06:24,1631473584,4.08,300
2021-09-12 19:06:25,1631473585,4.09,300
2021-09-12 19:06:26,1631473586,4.08,300
2021-09-12 19:06:27,1631473587,4.06,300
2021-09-12 19:06:28,1631473588,4.06,300
2021-09-12 19:06:29,1631473589,4.08,300
2021-09-12 19:06:30,1631473590,4.06,300
2021-09-12 19:06:31,1631473591,4.06,300
2021-09-12 19:06:32,1631473592,4.06,710
2021-09-12 19:06:33,1631473593,4.06,695
2021-09-12 19:06:34,1631473594,4.06,645
2021-09-12 19:06:35,1631473595,4.06,639
2021-09-12 19:06:36,1631473596,4.06,624
2021-09-12 19:06:37,1631473597,4.02,626
2021-09-12 19:06:38,1631473598,4.06,633
2021-09-12 19:06:39,1631473599,4.06,632
2021-09-12 19:06:40,1631473600,4.12,629
2021-09-12 19:06:41,1631473601,4.06,629
2021-09-12 19:06:42,1631473602,4.06,300
2021-09-12 19:06:43,1631473603,4.06,875
2021-09-12 19:06:44,1631473604,4.06,800
2021-09-12 19:06:45,1631473605,4.06,856
2021-09-12 19:06:46,1631473606,4.05,862
2021-09-12 19:06:47,1631473607,4.06,859
2021-09-12 19:06:48,1631473608,4.06,859
2021-09-12 19:06:49,1631473609,4.06,860
2021-09-12 19:06:50,1631473610,4.06,864
2021-09-12 19:06:51,1631473611,4.09,951
2021-09-12 19:06:52,1631473612,4.09,946
2021-09-12 19:06:53,1631473613,4.06,300
2021-09-12 19:06:54,1631473614,4.03,300
2021-09-12 19:06:55,1631473615,4.06,300
2021-09-12 19:06:56,1631473616,4.03,300
2021-09-12 19:06:57,1631473617,4.09,933
2021-09-12 19:06:58,1631473618,4.03,300
2021-09-12 19:06:59,1631473619,4.06,300
2021-09-12 19:07:00,1631473620,4.06,300
2021-09-12 19:07:01,1631473621,4.06,300
2021-09-12 19:07:02,1631473622,4.11,300
2021-09-12 19:07:03,1631473623,4.05,300
2021-09-12 19:07:04,1631473624,4.06,932
2021-09-12 19:07:05,1631473625,4.06,933
2021-09-12 19:07:06,1631473626,4.02,935
2021-09-12 19:07:07,1631473627,4.00,943
2021-09-12 19:07:08,1631473628,4.06,937
2021-09-12 19:07:09,1631473629,4.06,934
2021-09-12 19:07:10,1631473630,4.06,931
2021-09-12 19:07:11,1631473631,4.06,926
2021-09-12 19:07:12,1631473632,4.06,926
2021-09-12 19:07:13,1631473633,4.05,924
2021-09-12 19:07:14,1631473634,4.02,927
2021-09-12 19:07:15,1631473635,4.06,934
2021-09-12 19:07:16,1631473636,4.06,934
2021-09-12 19:07:17,1631473637,4.08,928
2021-09-12 19:07:18,1631473638,4.06,925
2021-09-12 19:07:19,1631473639,4.06,923
2021-09-12 19:07:20,1631473640,4.06,918
2021-09-12 19:07:21,1631473641,4.03,959
2021-09-12 19:07:22,1631473642,4.06,899
2021-09-12 19:07:23,1631473643,4.06,899
2021-09-12 19:07:24,1631473644,4.06,824
2021-09-12 19:07:25,1631473645,4.09,813
2021-09-12 19:07:26,1631473646,4.06,5000
2021-09-12 19:07:27,1631473647,4.06,5000
2021-09-12 19:07:28,1631473648,4.12,886
2021-09-12 19:07:29,1631473649,4.08,882
2021-09-12 19:07:30,1631473650,4.06,905
2021-09-12 19:07:31,1631473651,4.03,859
2021-09-12 19:07:32,1631473652,4.06,863
2021-09-12 19:07:33,1631473653,4.08,5000
2021-09-12 19:07:34,1631473654,4.05,847
2021-09-12 19:07:35,1631473655,4.05,5000
2021-09-12 19:07:36,1631473656,4.06,5000
2021-09-12 19:07:37,1631473657,4.06,857
2021-09-12 19:07:38,1631473658,4.06,967
2021-09-12 19:07:39,1631473659,4.03,971
2021-09-12 19:07:40,1631473660,4.03,962
2021-09-12 19:07:41,1631473661,4.06,958
2021-09-12 19:07:42,1631473662,4.06,884
2021-09-12 19:07:43,1631473663,4.05,930
2021-09-12 19:07:44,1631473664,4.06,975
2021-09-12 19:07:45,1631473665,4.06,895
2021-09-12 19:07:46,1631473666,4.06,898
2021-09-12 19:07:47,1631473667,4.05,1073
2021-09-12 19:07:48,1631473668,4.06,1170
2021-09-12 19:07:49,1631473669,4.06,1100
2021-09-12 19:07:50,1631473670,4.06,1008
2021-09-12 19:07:51,1631473671,4.06,883
2021-09-12 19:07:52,1631473672,4.06,995
2021-09-12 19:07:53,1631473673,4.06,1153
2021-09-12 19:07:54,1631473674,4.05,1131
2021-09-12 19:07:55,1631473675,4.08,968
2021-09-12 19:07:56,1631473676,4.06,883
2021-09-12 19:07:57,1631473677,4.06,1047
2021-09-12 19:07:58,1631473678,4.06,969
2021-09-12 19:07:59,1631473679,4.06,899
2021-09-12 19:08:00,1631473680,4.06,300
2021-09-12 19:08:01,1631473681,4.06,1252
2021-09-12 19:08:02,1631473682,4.06,300
2021-09-12 19:08:03,1631473683,4.05,300
2021-09-12 19:08:04,1631473684,4.06,300
2021-09-12 19:08:05,1631473685,4.08,300
2021-09-12 19:08:06,1631473686,4.06,300
2021-09-12 19:08:07,1631473687,4.06,300
2021-09-12 19:08:08,1631473688,4.06,300
2021-09-12 19:08:09,1631473689,4.02,300
2021-09-12 19:08:10,1631473690,4.06,300
